river,fpz,description,site,id,species,feeding,tl,d15N,d13C,per_N,per_C,C_N,tp
SCR,1,Wild River,SCR1,1048,shorthead redhorse,invertivore,415,10.4884872,-29.81356432,13.21765128,48.16859599,3.644262885,3.822197721
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1049,river redhorse,invertivore,560,10.8024552,-30.16743984,9.765280826,54.24732669,5.555122035,3.91454125
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1050,shorthead redhorse,invertivore,400,10.2788376,-27.79712165,13.19810211,48.78314033,3.696223891,3.760536074
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1051,shorthead redhorse,invertivore,410,10.5462168,-28.83241345,13.82129133,47.44891805,3.433030743,3.839177015
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1052,shorthead redhorse,invertivore,350,9.6215304,-30.33306031,11.93058862,56.84460117,4.764609946,3.567210426
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1053,silver redhorse,invertivore,465,9.2062824,-26.33377491,14.44073885,46.47383138,3.218244707,3.445078662
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1054,silver redhorse,invertivore,440,10.4864616,-26.55647046,14.5060912,46.83545663,3.22867518,3.821601956
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1055,silver redhorse,invertivore,335,11.0333736,-28.3463175,14.78805526,46.59608856,3.150927404,3.982458426
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1056,silver redhorse,invertivore,325,11.228844,-27.72694459,14.40048331,46.52708953,3.230939443,4.039949721
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1057,shorthead redhorse,invertivore,380,9.9810744,-29.12646399,12.87900917,47.80286185,3.711687848,3.672958662
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1058,river redhorse,invertivore,480,9.9638568,-26.53738539,14.57486025,46.58702137,3.19639575,3.667894662
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1059,channel catfish,invertivore,455,10.7457384,-28.62745235,13.77444536,48.12873213,3.494059534,3.897859838
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1060,river redhorse,invertivore,390,9.826116,-26.581911,14.22566538,43.65968767,3.069078775,3.627382662
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1061,river redhorse,invertivore,405,10.3760664,-26.60572344,14.89703485,47.32759673,3.176981004,3.789132779
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1062,river redhorse,invertivore,370,9.572916,-26.19966719,14.49285185,47.68083289,3.28995517,3.552912074
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1063,silver redhorse,invertivore,320,10.1836344,-29.39323146,14.31827487,45.09532298,3.149494153,3.732535132
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1064,walleye,piscivore,235,11.6197848,-26.76379792,14.33759463,44.27217958,3.087838702,4.154932309
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1065,northern hogshucker,algivore,380,9.9901896,-27.68006797,14.43605874,45.8133401,3.173535167,3.675639603
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1066,smallmouth bass,piscivore,185,10.8581592,-27.31200236,14.73653244,45.9725418,3.11963089,3.930924779
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1067,northern hogshucker,algivore,280,10.428732,-27.70458843,14.41241869,45.17498748,3.134448731,3.804622662
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1068,northern hogshucker,algivore,360,10.0813416,-27.78666455,14.60110318,45.77688547,3.13516622,3.702449015
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1069,black crappie,invertivore,215,11.639028,-25.7752414,14.91222456,45.51407848,3.052132049,4.160592074
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1070,walleye,piscivore,285,12.3186168,-27.61835591,14.48251628,44.68328076,3.085325774,4.360471132
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1071,smallmouth bass,piscivore,340,11.1974472,-25.31759993,14.28483308,45.2008593,3.164255337,4.030715368
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1072,black crappie,invertivore/piscivore,255,11.431404,-28.7282142,14.59559145,45.59914631,3.12417256,4.099526191
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1073,northern hogshucker,algivore,385,10.5977606,-27.45109151,14.30944412,44.75740779,3.127822955,3.854336956
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1074,black crappie,invertivore/piscivore,200,10.5125678,-25.72007884,14.9303571,46.39717724,3.107573177,3.82928025
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1075,channel catfish,detritivore,355,10.9679436,-27.47623328,13.99083491,45.58357534,3.258102582,3.963214309
