river,fpz,description,site,id,species,feeding,tl,d15N,d13C,per_N,per_C,C_N,tp
WIN,1,closed backwater Winona,WIN1,125,common carp,detritivore,510,12.45593738,-32.14320643,5.391818901,61.61169692,11.42688544,2.521152721
WIN,1,closed backwater Winona,WIN1,126,bigmouth buffalo,planktivore,532,14.52360703,-28.65101375,12.70039569,44.56953813,3.509303113,3.129290851
WIN,1,closed backwater Winona,WIN1,127,bigmouth buffalo,planktivore,582,13.37156323,-29.45877865,10.76850389,50.01746305,4.644792215,2.790454439
WIN,1,closed backwater Winona,WIN1,128,bigmouth buffalo,planktivore,600,13.42685576,-31.54470703,11.03353849,50.57448198,4.583704677,2.806716948
WIN,1,closed backwater Winona,WIN1,129,largemouth bass,piscivore,368,15.09570302,-27.092866,13.17152263,41.92843653,3.183264207,3.297554378
WIN,1,closed backwater Winona,WIN1,130,walleye,piscivore,483,16.98446134,-28.32342,13.61745461,44.3119491,3.254055208,3.85307153
WIN,1,closed backwater Winona,WIN1,131,walleye,piscivore,541,17.03364565,-27.580254,13.67837567,43.41939846,3.174309546,3.867537505
WIN,1,closed backwater Winona,WIN1,132,shorthead redhorse,invertivore,408,14.86259278,-27.649737,13.01115734,43.60728183,3.351529822,3.228992542
WIN,1,closed backwater Winona,WIN1,133,shorthead redhorse,invertivore,410,15.07707576,-30.130985,10.92025435,49.1911666,4.504580665,3.292075773
WIN,1,closed backwater Winona,WIN1,134,common carp,detritivore,595,14.0466555,-30.022229,7.717034759,54.82774109,7.104767932,2.989010989
WIN,1,closed backwater Winona,WIN1,135,smallmouth buffalo,detritivore,520,14.42828034,-30.80064,11.73087771,49.35587562,4.207347211,3.10125359
WIN,1,closed backwater Winona,WIN1,136,common carp,detritivore,580,14.64959983,-27.075747,11.35843478,49.01919662,4.315664753,3.166347559
WIN,1,closed backwater Winona,WIN1,137,northern pike,piscivore,628,16.36886096,-26.346679,14.10267468,45.33888413,3.214913848,3.672012595
WIN,1,closed backwater Winona,WIN1,138,shorthead redhorse,invertivore,394,14.98218162,-29.099817,11.40631411,50.0346169,4.386571896,3.264165731
WIN,1,closed backwater Winona,WIN1,139,shorthead redhorse,invertivore,395,15.22836647,-28.241853,12.59346899,44.24878021,3.513629186,3.336573042
WIN,1,closed backwater Winona,WIN1,140,shorthead redhorse,invertivore,376,15.02197652,-27.494659,13.09484877,47.60657035,3.635518912,3.275870114
WIN,1,closed backwater Winona,WIN1,141,common carp,detritivore,675,14.3994639,-26.196636,10.78596837,49.46019138,4.585605082,3.092778168
WIN,1,closed backwater Winona,WIN1,142,largemouth bass,piscivore,220,18.53265942,-26.667912,13.40070965,43.60818751,3.254170015,4.308423907
WIN,1,secondary/tertiary channels Winona,WIN1,143,smallmouth bass,piscivore,388,18.07139821,-26.38998,11.90420345,47.94041026,4.027183379,4.172758846
WIN,1,secondary/tertiary channels Winona,WIN1,144,smallmouth bass,piscivore,500,17.13790357,-24.601548,13.46936566,45.18220115,3.354441648,3.898201598
WIN,1,secondary/tertiary channels Winona,WIN1,145,smallmouth bass,piscivore,453,17.48716586,-25.651849,13.13609192,42.75188707,3.254536229,4.000925803
WIN,1,secondary/tertiary channels Winona,WIN1,146,smallmouth bass,piscivore,368,18.3032424,-26.059684,13.25951541,43.6708234,3.29354596,4.240948315
WIN,1,secondary/tertiary channels Winona,WIN1,147,smallmouth bass,piscivore,342,18.21688547,-26.021418,13.19406841,43.90952683,3.327974774,4.215549216
WIN,1,secondary/tertiary channels Winona,WIN1,148,river redhorse,invertivore,585,NA,NA,NA,NA,NA,NA
WIN,1,secondary/tertiary channels Winona,WIN1,149,shorthead redhorse,invertivore,405,15.4524948,-26.652807,13.96979721,44.51205368,3.186306358,3.402493137
WIN,1,secondary/tertiary channels Winona,WIN1,150,shorthead redhorse,invertivore,333,14.57920633,-26.63166,13.1036672,45.35811447,3.461482483,3.145643588
WIN,1,secondary/tertiary channels Winona,WIN1,151,river redhorse,invertivore,550,15.49438244,-26.804864,12.90722003,44.13663798,3.419530919,3.414813032
WIN,1,secondary/tertiary channels Winona,WIN1,152,shorthead redhorse,invertivore,405,15.69342653,-28.789661,10.28485882,42.4345921,4.1259285,3.473355409
WIN,1,secondary/tertiary channels Winona,WIN1,153,smallmouth buffalo,detritivore,507,16.64838189,-29.945697,7.109441501,57.31079235,8.06122286,3.754224633
WIN,1,secondary/tertiary channels Winona,WIN1,154,river redhorse,invertivore,506,16.33406867,-27.340588,12.43282292,48.10428224,3.869135959,3.661779568
WIN,1,secondary/tertiary channels Winona,WIN1,155,shorthead redhorse,invertivore,335,15.28910058,-27.958886,11.63052469,48.04545652,4.130979279,3.354436013
WIN,1,secondary/tertiary channels Winona,WIN1,156,silver redhorse,invertivore,512,15.832568,-27.148251,11.64495713,45.22048125,3.883267303,3.514279373
WIN,1,secondary/tertiary channels Winona,WIN1,157,bluegill,invertivore,180,16.18455187,-27.69593406,13.4918987,43.63983893,3.234521685,3.617804041
WIN,1,secondary/tertiary channels Winona,WIN1,158,shorthead redhorse,invertivore,440,16.83153904,-27.67351629,11.00104189,54.54134618,4.957834603,3.808094384
WIN,1,secondary/tertiary channels Winona,WIN1,159,river redhorse,invertivore,560,15.88057295,-26.90305212,13.02354169,43.84035489,3.366239073,3.528398476
WIN,1,secondary/tertiary channels Winona,WIN1,160,river redhorse,invertivore,545,16.35213905,-27.55800311,10.72963454,46.68659472,4.35118219,3.667094388
WIN,1,secondary/tertiary channels Winona,WIN1,161,largemouth bass,piscivore,277,14.1446298,-26.40894624,13.44592887,42.80350997,3.183380665,3.017826959
WIN,1,secondary/tertiary channels Winona,WIN1,162,largemouth bass,piscivore,220,13.19682082,-23.85578549,13.63679189,43.88669186,3.218256333,2.739059613
WIN,1,secondary/tertiary channels Winona,WIN1,163,largemouth bass,piscivore,190,17.61088319,-22.66382472,13.39000781,43.27525894,3.231906923,4.037313253
WIN,1,secondary/tertiary channels Winona,WIN1,164,largemouth bass,piscivore,217,18.02533754,-25.25971977,13.38070624,44.85867216,3.352489124,4.159211591
WIN,1,secondary/tertiary channels Winona,WIN1,165,quillback,?,465,17.00404534,-28.14049491,10.51628327,51.29046202,4.877242341,3.85883153
WIN,1,secondary/tertiary channels Winona,WIN1,166,smallmouth buffalo,detritivore,540,16.2677273,-25.52830389,12.3066577,45.635954,3.708232982,3.642267401
WIN,1,secondary/tertiary channels Winona,WIN1,167,quillback,?,463,17.3692607,-27.82380964,10.91789031,48.2174363,4.416369367,3.966247815
WIN,1,secondary/tertiary channels Winona,WIN1,168,perch,invertivore,247,13.32851202,-26.63613187,13.25946836,42.33546536,3.192847874,2.77779232
WIN,1,secondary/tertiary channels Winona,WIN1,169,common carp,detritivore,695,15.34634762,-28.20950933,10.30969273,53.21900125,5.162035635,3.371273379
WIN,1,secondary/tertiary channels Winona,WIN1,170,common carp,detritivore,600,14.85611786,-26.40129813,11.09244135,49.55991358,4.467899538,3.227088155
WIN,1,secondary/tertiary channels Winona,WIN1,171,common carp,detritivore,710,15.63465156,-28.65111787,8.340123362,55.12973134,6.610181762,3.456068654
WIN,1,secondary/tertiary channels Winona,WIN1,172,sauger,piscivore,282,18.51102073,-24.12671684,12.88880864,42.98507335,3.33506956,4.302059587
WIN,1,secondary/tertiary channels Winona,WIN1,173,common carp,detritivore,680,14.61207472,-30.16613402,10.27665681,51.83444871,5.043901892,3.15531076
WIN,1,secondary/tertiary channels Winona,WIN1,174,northern pike,piscivore,800,17.27273887,-26.36206701,13.78737848,43.39258488,3.147268709,3.93785904
WIN,1,secondary/tertiary channels Winona,WIN1,175,smallmouth buffalo,detritivore,510,16.51094933,-28.46238041,10.24400774,50.11003009,4.89164313,3.713803294
WIN,1,main channel Winona,WIN1,176,largemouth bass,piscivore,452,17.85440782,-25.68840095,13.68893263,43.45662726,3.174581134,4.108938144
WIN,1,main channel Winona,WIN1,177,smallmouth bass,piscivore,350,17.25422401,-24.93696652,13.2497141,43.39159732,3.274908197,3.932413492
WIN,1,main channel Winona,WIN1,178,smallmouth bass,piscivore,362,16.92514942,-25.28807443,13.28350198,42.70069042,3.214565743,3.835626848
WIN,1,main channel Winona,WIN1,179,smallmouth bass,piscivore,300,17.06226645,-25.25367881,13.04045205,42.32794164,3.245895271,3.875955387
WIN,1,main channel Winona,WIN1,180,shorthead redhorse,invertivore,403,15.39071871,-28.08266914,12.99946725,44.44075115,3.418659418,3.3843237
WIN,1,main channel Winona,WIN1,181,shorthead redhorse,invertivore,367,16.17205129,-30.25694248,9.349100248,52.73331447,5.640469465,3.614127398
WIN,1,main channel Winona,WIN1,182,quillback,?,490,17.85668242,-27.64764604,10.85911589,49.7019388,4.576978394,4.109607142
WIN,1,main channel Winona,WIN1,183,river redhorse,invertivore,480,16.05162526,-26.60244832,12.88024991,46.22004769,3.588443394,3.578707978
WIN,1,main channel Winona,WIN1,184,shorthead redhorse,invertivore,405,15.57066419,-26.70693993,13.23420227,43.82065295,3.311166932,3.437248841
WIN,1,main channel Winona,WIN1,185,quillback,?,400,16.51757275,-26.9105122,11.8968851,46.01369072,3.867709095,3.715751357
WIN,1,main channel Winona,WIN1,186,smallmouth buffalo,detritivore,518,17.06514524,-28.2581869,10.33068761,51.03447127,4.940084649,3.876802091
WIN,1,main channel Winona,WIN1,187,shorthead redhorse,invertivore,338,15.67445513,-23.80311011,13.24689889,42.96902632,3.24370456,3.467775586
WIN,1,main channel Winona,WIN1,188,shorthead redhorse,invertivore,320,14.68641546,-27.14791581,12.32836059,45.5006535,3.690730263,3.177175684
WIN,1,main channel Winona,WIN1,189,largemouth bass,piscivore,200,16.17712218,-24.21148776,13.41580971,43.56250334,3.247102059,3.615618837
WIN,1,main channel Winona,WIN1,190,largemouth bass,piscivore,332,17.83343203,-26.47524334,12.90479198,43.38437087,3.361880682,4.102768793
WIN,1,main channel Winona,WIN1,191,smallmouth bass,piscivore,354,17.11475415,-24.69436184,13.04403613,42.99427457,3.296086744,3.891392945
WIN,1,main channel Winona,WIN1,192,smallmouth bass,piscivore,364,17.10576297,-24.87157677,13.27566428,43.92455088,3.308651828,3.888748481
WIN,1,main channel Winona,WIN1,193,rockbass,piscivore,220,17.4507252,-26.09754889,12.64558584,40.77878881,3.224744928,3.990207962
WIN,1,main channel Winona,WIN1,194,northern pike,piscivore,345,18.76530399,-24.44066362,13.56317918,43.1612057,3.182233689,4.376848782
WIN,1,main channel Winona,WIN1,195,river redhorse,invertivore,530,15.79749997,-26.14236002,11.94714247,44.1139944,3.692430597,3.503965247
WIN,1,main channel Winona,WIN1,196,river redhorse,invertivore,523,15.7219755,-26.23536573,11.69099128,41.33736477,3.535830606,3.481752168
WIN,1,main channel Winona,WIN1,197,quillback,?,465,17.34922858,-27.27520659,11.91672379,46.06840267,3.865861413,3.960356014
WIN,1,main channel Winona,WIN1,198,quillback,?,445,17.79009945,-28.19858835,9.454540356,43.35934688,4.586087239,4.090023916
WIN,1,main channel Winona,WIN1,199,quillback,?,455,17.47198339,-27.32790836,11.70605667,47.12500924,4.025694609,3.996460369
WIN,1,main channel Winona,WIN1,200,bluegill,invertivore,170,17.27341978,-24.68358732,13.53036081,44.50740472,3.289446997,3.938059309
WIN,1,main channel Winona,WIN1,201,bluegill,invertivore,170,15.43139406,-26.16091289,13.05615014,43.36332478,3.321294893,3.396287038
WIN,1,main channel Winona,WIN1,202,river redhorse,invertivore,545,15.62105698,-26.08200957,12.52313427,45.11799709,3.602771967,3.452070248
WIN,1,main channel Winona,WIN1,203,smallmouth bass,piscivore,275,17.79258541,-25.4865023,13.37326407,43.41585753,3.246466779,4.090755081
WIN,1,main channel Winona,WIN1,204,bluegill,invertivore,160,16.46965576,-25.94872216,13.49289948,43.95247256,3.257452013,3.701658124
WIN,1,main channel Winona,WIN1,205,white bass,piscivore,355,17.55745103,-25.81914837,13.93640637,44.01888229,3.158553298,4.021597911
WIN,1,main channel Winona,WIN1,206,largemouth bass,piscivore,365,18.14747067,-25.04819169,14.21568137,45.29553937,3.186308008,4.195133099
WIN,1,main channel Winona,WIN1,207,largemouth bass,piscivore,365,18.18030066,-26.13792078,13.85029853,43.51029527,3.141469853,4.204788979
WIN,1,main channel Winona,WIN1,208,drum,invertivore,510,15.47394473,-29.57773038,9.146157107,54.44542715,5.952820022,3.40880194
WIN,1,main channel Winona,WIN1,209,smallmouth buffalo,detritivore,437,16.38468731,-28.68080051,7.593769126,44.44781943,5.853196047,3.676667406
WIN,1,main channel Winona,WIN1,210,smallmouth buffalo,detritivore,565,15.84506542,-30.48693164,7.05163695,56.06325073,7.950388134,3.517955084
WIN,1,main channel Winona,WIN1,211,drum,invertivore,500,15.5540496,-29.84671239,9.298761079,55.6467742,5.984321323,3.432362195
WIN,1,main channel Winona,WIN1,212,bluegill,invertivore,198,16.45799019,-27.10497854,10.43191226,34.20145756,3.278541528,3.698227074
WIN,1,main channel Winona,WIN1,213,bluegill,invertivore,190,16.90946258,-27.17554368,13.37361194,44.12229382,3.299205481,3.831013073
WIN,1,main channel Winona,WIN1,214,largemouth bass,piscivore,388,17.99123899,-25.03017158,13.36355001,45.12142679,3.376455115,4.149182604
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,215,quillback,omnivore,490,16.05067483,-26.09073107,14.63393239,49.98931906,3.415986744,3.578428441
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,216,river redhorse,invertivore,570,11.80104441,-26.86827677,13.10260443,43.26539495,3.302045419,2.328537141
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,217,river redhorse,invertivore,495,14.15173166,-26.24638266,12.94450238,44.30581276,3.422751333,3.019915743
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,218,smallmouth buffalo,detritivore,435,15.14939766,-30.95593495,8.679240377,55.83858482,6.433579714,3.31334692
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,219,common carp,detritivore,520,13.08368102,-26.77040805,12.24971163,48.63651005,3.970420815,2.705783203
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,220,northern pike,piscivore,418,18.25519506,-22.04837913,13.49024923,42.56844229,3.155497098,4.226816744
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,221,bowfin,piscivore,590,14.78424258,-25.8054739,13.74909783,44.54183553,3.239618778,3.205948366
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,222,largemouth bass,piscivore,345,15.72604555,-26.32631011,13.89574738,44.09753998,3.17345579,3.482949239
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,223,drum,invertivore,332,13.60707344,-29.41435631,12.23016418,47.249533,3.863360485,2.859722149
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,224,largemouth bass,piscivore,224,18.07066224,-26.05479965,13.9692554,45.0281423,3.223374547,4.172542383
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,225,largemouth bass,piscivore,162,14.72349016,-25.93534353,13.32286884,43.15978386,3.239526289,3.188080009
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,226,yellow perch,invertivore,170,14.3752007,-26.66973504,13.5427912,43.43901571,3.207537874,3.085641932
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,227,yellow perch,invertivore,177,13.3376627,-28.249909,13.5548545,43.55510258,3.213247518,2.780483696
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,228,yellow perch,invertivore,188,14.13732419,-25.37270054,13.5739565,43.96565236,3.238971067,3.015678251
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,229,yellow perch,invertivore,177,13.7408125,-26.81605882,13.65085694,44.23141147,3.240193027,2.899057166
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,230,yellow perch,invertivore,156,13.09947438,-28.55578509,13.05529146,42.16733309,3.229903616,2.710428309
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,231,drum,invertivore,360,14.30735394,-30.5067659,8.468090462,55.06905883,6.50312595,3.065687003
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,232,common carp,detritivore,555,14.4052905,-26.45872844,11.04953036,49.99778425,4.52487867,3.094491872
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,233,drum,invertivore,338,14.08079163,-27.79214667,13.13416229,45.4670448,3.461739226,2.999051028
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,234,bigmouth buffalo,planktivore,560,14.80426632,-27.74732227,12.55727691,45.07569075,3.589607131,3.211837703
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,235,drum,invertivore,305,14.89191284,-27.69548869,13.08143271,44.80380206,3.424991975,3.237616092
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,236,bluegill,invertivore,220,16.69593532,-25.97640842,13.18889852,43.02316345,3.262074039,3.768210937
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,237,bluegill,invertivore,185,13.57750073,-26.99862713,13.5725954,43.86030721,3.231534273,2.851024293
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,238,bluegill,invertivore,154,15.54581575,-26.78721744,13.60190948,43.20161118,3.176143118,3.429940474
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,239,black crappie,invertivore,138,14.99306745,-27.76256415,13.51168402,43.40461694,3.212376552,3.267367445
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,240,black crappie,invertivore,142,14.84617843,-26.78654543,13.21080632,43.35996921,3.282159179,3.224164792
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,241,smallmouth buffalo,detritivore,540,14.2517896,-28.39771338,12.93236485,43.52468485,3.365562706,3.049344549
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,242,shorthead redhorse,invertivore,413,15.08058497,-25.23047184,13.41894434,44.54793896,3.319779697,3.293107894
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,243,river redhorse,invertivore,562,12.99953367,-27.98232008,12.57203002,44.49540391,3.539237804,2.681033983
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,244,shorthead redhorse,invertivore,495,13.85656465,-27.93949393,13.63780619,44.15656768,3.237805779,2.933101918
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,245,quillback,omnivore,505,15.41768026,-26.74510585,13.27985048,44.33518555,3.338530477,3.392253566
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,246,quillback,omnivore,535,15.24019595,-26.71340824,12.14363278,45.74263443,3.766799875,3.340052298
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,247,smallmouth buffalo,detritivore,500,14.42342368,-27.52201644,12.82737645,44.99001499,3.507343468,3.099825161
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,248,smallmouth buffalo,detritivore,515,13.44814386,-27.58600241,12.57434736,45.12102655,3.588339439,2.812978156
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,249,common carp,detritivore,575,13.00199455,-26.32189859,10.05012715,53.47563447,5.320891334,2.681757769
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,250,channel catfish,omnivore,495,14.13072456,-28.47463131,13.12536476,41.90075111,3.192349462,3.013737185
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,251,bluegill,invertivore,195,16.00489893,-25.95504401,12.94404225,45.40615647,3.507880736,3.564964941
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,252,northern pike,piscivore,?,15.18015479,-26.01196455,14.09098297,44.06211599,3.126972482,3.322393135
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,253,northern pike,piscivore,595,16.03402205,-24.4890333,12.87775182,40.01620289,3.107390439,3.573530563
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,254,largemouth bass,piscivore,388,18.35928771,-24.20157969,13.94510874,43.74914229,3.137239236,4.257432229
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,255,bigmouth buffalo,planktivore,595,15.25258382,-28.74248998,6.768280702,61.47981228,9.083519876,3.343695789
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,256,bluegill,invertivore,180,15.99517901,-26.32275432,13.41571485,44.98955614,3.35349675,3.56210614
WIN,2,"backwater, Lawrence Lake, near La Crescent",WIN2,257,drum,invertivore,335,14.52814807,-27.95269859,12.53063538,42.47269883,3.389508794,3.130626452
WIN,2,secondary/tertiary channels Winona 2,WIN2,258,shorthead redhorse,invertivore,352,15.26712066,-26.99341993,13.09608187,45.61817321,3.483345145,3.347971332
WIN,2,secondary/tertiary channels Winona 2,WIN2,259,largemouth bass,piscivore,342,17.98422433,-24.01401683,12.25422647,38.64384943,3.153511934,4.14711947
WIN,2,secondary/tertiary channels Winona 2,WIN2,260,smallmouth bass,piscivore,354,17.75509405,-24.21634451,13.55306304,44.09111288,3.253221266,4.07972821
WIN,2,secondary/tertiary channels Winona 2,WIN2,261,smallmouth bass,piscivore,320,18.10108867,-25.25755664,14.59773827,47.76417846,3.272025951,4.181491334
WIN,2,secondary/tertiary channels Winona 2,WIN2,262,bowfin,piscivore,560,16.98277534,-23.81977424,13.8048115,45.94974926,3.328531451,3.852575649
WIN,2,secondary/tertiary channels Winona 2,WIN2,263,shorthead redhorse,invertivore,375,14.60305374,-26.74278647,13.38773358,42.69405792,3.189042991,3.152657532
WIN,2,secondary/tertiary channels Winona 2,WIN2,264,river redhorse,invertivore,550,15.41008543,-25.117657,12.84203254,42.57122498,3.314991209,3.390019794
WIN,2,secondary/tertiary channels Winona 2,WIN2,265,river redhorse,invertivore,435,16.11449782,-24.70770437,13.33996461,47.02393141,3.525041692,3.597199907
WIN,2,secondary/tertiary channels Winona 2,WIN2,266,shorthead redhorse,invertivore,342,15.36086096,-27.32025234,12.08195513,42.14114261,3.487940666,3.375542008
WIN,2,secondary/tertiary channels Winona 2,WIN2,267,river redhorse,invertivore,475,15.78139999,-25.29255633,13.00427746,44.53641581,3.424751274,3.499229957
WIN,2,secondary/tertiary channels Winona 2,WIN2,268,yellow perch,invertivore,203,17.39332485,-23.94844115,14.8394622,47.53173213,3.203062988,3.973325506
WIN,2,secondary/tertiary channels Winona 2,WIN2,269,bowfin,piscivore,620,17.4358375,-24.234202,12.58122486,42.659808,3.390751575,3.985829225
WIN,2,secondary/tertiary channels Winona 2,WIN2,270,common carp,detritivore,700,14.8651,-27.627242,10.88691488,54.97183682,5.049349374,3.229729961
WIN,2,secondary/tertiary channels Winona 2,WIN2,271,bowfin,piscivore,695,17.4398875,-24.14631,13.34684775,44.84780045,3.360179218,3.987020402
WIN,2,secondary/tertiary channels Winona 2,WIN2,272,common carp,detritivore,495,13.9892875,-27.379918,10.47674602,46.85969247,4.472733462,2.972138049
WIN,2,secondary/tertiary channels Winona 2,WIN2,273,common carp,detritivore,630,14.5360375,-27.388094,8.292991202,49.05993837,5.915831474,3.132946873
WIN,2,secondary/tertiary channels Winona 2,WIN2,274,yellow perch,invertivore,145,16.9964125,-24.860688,13.10157267,43.50453501,3.320558235,3.856586578
WIN,2,secondary/tertiary channels Winona 2,WIN2,275,largemouth bass,piscivore,205,18.55465,-21.808996,13.52091828,44.34623376,3.27982411,4.314891725
WIN,2,secondary/tertiary channels Winona 2,WIN2,276,smallmouth buffalo,detritivore,460,16.0558,-28.748376,9.86931967,51.60287913,5.228615635,3.579935843
WIN,2,secondary/tertiary channels Winona 2,WIN2,277,river redhorse,invertivore,450,15.332875,-26.455008,12.69544022,42.29354363,3.331396383,3.367310843
WIN,2,secondary/tertiary channels Winona 2,WIN2,278,smallmouth buffalo,detritivore,552,16.803025,-27.868434,7.790145889,53.16637236,6.824823709,3.799707902
WIN,2,secondary/tertiary channels Winona 2,WIN2,279,shorthead redhorse,invertivore,405,15.0564625,-27.463722,13.75420059,48.43514709,3.521480348,3.286013049
WIN,2,secondary/tertiary channels Winona 2,WIN2,280,shorthead redhorse,invertivore,411,15.3419875,-26.828038,13.84926493,45.51574805,3.286510026,3.36999099
WIN,2,secondary/tertiary channels Winona 2,WIN2,281,smallmouth buffalo,detritivore,492,16.65115,-27.507668,11.59253385,47.05950131,4.05946637,3.755038784
WIN,2,secondary/tertiary channels Winona 2,WIN2,282,yellow perch,invertivore,213,17.7922375,-23.843798,13.31133171,43.91648191,3.299180191,4.090652755
WIN,2,secondary/tertiary channels Winona 2,WIN2,283,river redhorse,invertivore,373,16.037575,-26.66043,12.19172763,45.61613886,3.741564792,3.574575549
WIN,2,secondary/tertiary channels Winona 2,WIN2,284,largemouth bass,piscivore,375,18.0190375,-23.569902,13.39571153,42.31891625,3.159139114,4.157358637
WIN,2,secondary/tertiary channels Winona 2,WIN2,285,flathead catfish,piscivore,610,17.8307125,-24.193322,13.36420943,43.20195429,3.232660676,4.101968931
WIN,2,secondary/tertiary channels Winona 2,WIN2,286,sauger,piscivore,288,18.823975,-23.5791,13.25565451,43.58324526,3.2878984,4.394104961
WIN,2,secondary/tertiary channels Winona 2,WIN2,287,largemouth bass,piscivore,280,17.6322625,-24.16675,13.97948927,44.57502221,3.188601626,4.043601284
WIN,2,secondary/tertiary channels Winona 2,WIN2,288,black crappie,piscivore,310,17.3437,-25.578132,13.89492387,44.20319742,3.181247903,3.958729961
WIN,2,secondary/tertiary channels Winona 2,WIN2,289,common carp,detritivore,568,14.7223375,-28.72998,6.75902983,58.91646435,8.716704294,3.18774099
WIN,2,secondary/tertiary channels Winona 2,WIN2,290,common carp,detritivore,610,15.8907625,-26.083,11.69361311,48.33529991,4.133478631,3.531395402
WIN,2,secondary/tertiary channels Winona 2,WIN2,291,largemouth bass,piscivore,395,17.6970625,-24.04922,13.55963446,43.06751512,3.176156058,4.062660108
WIN,2,secondary/tertiary channels Winona 2,WIN2,300,bowfin,piscivore,610,17.523983,-23.8951708,14.6885886,46.46847945,3.163576891,4.011754373
WIN,2,secondary/tertiary channels Winona 2,WIN2,301,smallmouth bass,piscivore,345,17.9716238,-23.14769102,14.5400708,44.47288712,3.058643093,4.143413431
WIN,2,secondary/tertiary channels Winona 2,WIN2,302,bluegill,invertivore,193,16.2627248,-25.25405722,13.87716198,44.12312115,3.179549335,3.640796078
WIN,2,secondary/tertiary channels Winona 2,WIN2,303,bowfin,piscivore,630,16.8878088,-23.88813536,14.66543139,45.50704824,3.103014635,3.824644314
WIN,2,secondary/tertiary channels Winona 2,WIN2,304,bluegill,invertivore,200,16.7396034,-25.10157577,14.30363499,45.41336203,3.174952526,3.78105449
WIN,2,secondary/tertiary channels Winona 2,WIN2,305,quillback,omnivore,410,16.409922,-24.66022126,13.6750677,45.49599898,3.326930439,3.684089373
WIN,2,secondary/tertiary channels Winona 2,WIN2,306,quillback,omnivore,435,16.4895698,-26.36267812,10.12331909,54.53968953,5.387530417,3.707515196
WIN,2,secondary/tertiary channels Winona 2,WIN2,307,sauger,piscivore,298,18.4384204,-22.74432707,14.45005572,47.15182556,3.263089533,4.280706549
WIN,2,secondary/tertiary channels Winona 2,WIN2,308,shorthead redhorse,invertivore,305,15.129508,-27.3141657,13.89657838,42.79379877,3.079448596,3.30749702
WIN,2,secondary/tertiary channels Winona 2,WIN2,309,quillback,omnivore,490,15.0508684,-25.47698137,13.5967063,43.710558,3.214790188,3.284367725
WIN,2,main channel Winona 2,WIN2,310,river redhorse,invertivore,390,15.578157,-26.21529745,14.14481613,47.15788657,3.333934223,3.439452608
WIN,2,main channel Winona 2,WIN2,311,silver redhorse,invertivore,435,15.3029184,-25.6131505,13.77862077,44.68749797,3.243248996,3.358500078
WIN,2,main channel Winona 2,WIN2,312,river redhorse,invertivore,530,15.2988856,-25.06659699,13.459862,46.67378711,3.467627462,3.357313961
WIN,2,main channel Winona 2,WIN2,313,smallmouth bass,piscivore,190,17.5784258,-25.5392958,13.97759209,45.53664559,3.257831913,4.027766961
