site,fpz,description,id,species,feeding,tl,d15N,d13C,per_N,per_C,C_N
WIN,2,side channel,263,Moxostoma macrolepidotum,invertivore,375,14.603,-26.743,13.388,42.694,3.189
WIN,2,side channel,264,Moxostoma carinatum,invertivore,550,15.410,-25.118,12.842,42.571,3.315
WIN,2,side channel,265,Moxostoma carinatum,invertivore,435,16.114,-24.708,13.340,47.024,3.525
WIN,2,side channel,266,Moxostoma macrolepidotum,invertivore,342,15.361,-27.320,12.082,42.141,3.488
WIN,2,side channel,267,Moxostoma carinatum,invertivore,475,15.781,-25.293,13.004,44.536,3.425
WIN,2,side channel,268,Perca flavescens,invertivore,203,17.393,-23.948,14.839,47.532,3.203
WIN,2,side channel,269,Amia calva,piscivore,620,17.436,-24.234,12.581,42.660,3.391
WIN,2,side channel,270,Cyprinus carpio,detritivore,700,14.865,-27.627,10.887,54.972,5.049
WIN,2,side channel,271,Amia calva,piscivore,695,17.440,-24.146,13.347,44.848,3.360
WIN,2,side channel,272,Cyprinus carpio,detritivore,495,13.989,-27.380,10.477,46.860,4.473
WIN,2,side channel,273,Cyprinus carpio,detritivore,630,14.536,-27.388,8.293,49.060,5.916
WIN,2,side channel,274,Perca flavescens,invertivore,145,16.996,-24.861,13.102,43.505,3.321
WIN,2,side channel,275,Micropterus salmoides,piscivore,205,18.555,-21.809,13.521,44.346,3.280
WIN,2,side channel,276,Ictiobus bubalus,detritivore,460,16.056,-28.748,9.869,51.603,5.229
WIN,2,side channel,277,Moxostoma carinatum,invertivore,450,15.333,-26.455,12.695,42.294,3.331
WIN,2,side channel,278,Ictiobus bubalus,detritivore,552,16.803,-27.868,7.790,53.166,6.825
WIN,2,side channel,279,Moxostoma macrolepidotum,invertivore,405,15.056,-27.464,13.754,48.435,3.521
WIN,2,side channel,280,Moxostoma macrolepidotum,invertivore,411,15.342,-26.828,13.849,45.516,3.287
WIN,2,side channel,281,Ictiobus bubalus,detritivore,492,16.651,-27.508,11.593,47.060,4.059
WIN,2,side channel,282,Perca flavescens,invertivore,213,17.792,-23.844,13.311,43.916,3.299
WIN,2,side channel,283,Moxostoma carinatum,invertivore,373,16.038,-26.660,12.192,45.616,3.742
WIN,2,side channel,284,Micropterus salmoides,piscivore,375,18.019,-23.570,13.396,42.319,3.159
WIN,2,side channel,285,Pylodictis olivaris,piscivore,610,17.831,-24.193,13.364,43.202,3.233
WIN,2,side channel,286,Sander canadensis,piscivore,288,18.824,-23.579,13.256,43.583,3.288
WIN,2,side channel,287,Micropterus salmoides,piscivore,280,17.632,-24.167,13.979,44.575,3.189
WIN,2,side channel,288,Pomoxis nigromaculatus,piscivore,310,17.344,-25.578,13.895,44.203,3.181
WIN,2,side channel,289,Cyprinus carpio,detritivore,568,14.722,-28.730,6.759,58.916,8.717
WIN,2,side channel,290,Cyprinus carpio,detritivore,610,15.891,-26.083,11.694,48.335,4.133
WIN,2,side channel,291,Micropterus salmoides,piscivore,395,17.697,-24.049,13.560,43.068,3.176
WIN,2,side channel,300,Amia calva,piscivore,610,17.524,-23.895,14.689,46.468,3.164
WIN,2,side channel,301,Micropterus dolomieu,piscivore,345,17.972,-23.148,14.540,44.473,3.059
WIN,2,side channel,302,Lepomis macrochirus,invertivore,193,16.263,-25.254,13.877,44.123,3.180
WIN,2,side channel,303,Amia calva,piscivore,630,16.888,-23.888,14.665,45.507,3.103
WIN,2,side channel,304,Lepomis macrochirus,invertivore,200,16.740,-25.102,14.304,45.413,3.175
WIN,2,side channel,305,Carpiodes cyprinus,omnivore,410,16.410,-24.660,13.675,45.496,3.327
WIN,2,side channel,306,Carpiodes cyprinus,omnivore,435,16.490,-26.363,10.123,54.540,5.388
WIN,2,side channel,307,Sander canadensis,piscivore,298,18.438,-22.744,14.450,47.152,3.263
WIN,2,side channel,308,Moxostoma macrolepidotum,invertivore,305,15.130,-27.314,13.897,42.794,3.079
WIN,2,side channel,309,Carpiodes cyprinus,omnivore,490,15.051,-25.477,13.597,43.711,3.215
WIN,2,main channel,310,Moxostoma carinatum,invertivore,390,15.578,-26.215,14.145,47.158,3.334
WIN,2,main channel,311,Moxostoma anisurum,invertivore,435,15.303,-25.613,13.779,44.687,3.243
WIN,2,main channel,312,Moxostoma carinatum,invertivore,530,15.299,-25.067,13.460,46.674,3.468
WIN,2,main channel,313,Micropterus dolomieu,piscivore,190,17.578,-25.539,13.978,45.537,3.258
WIN,2,main channel,314,Moxostoma carinatum,invertivore,420,15.119,-26.259,13.522,48.033,3.552
WIN,2,main channel,315,Moxostoma carinatum,invertivore,360,14.315,-26.150,14.019,47.589,3.395
WIN,2,main channel,316,Ictalurus punctatus,omnivore,410,15.178,-26.103,12.784,49.981,3.910
WIN,2,main channel,317,Moxostoma carinatum,invertivore,545,14.632,-25.753,12.881,47.889,3.718
WIN,2,main channel,318,Moxostoma anisurum,invertivore,355,15.996,-26.105,13.311,44.074,3.311
WIN,2,main channel,319,Micropterus dolomieu,piscivore,320,17.124,-24.616,15.406,48.025,3.117
WIN,2,main channel,320,Micropterus dolomieu,piscivore,260,17.558,-24.966,14.554,46.924,3.224
WIN,2,main channel,321,Aplodinotus grunniens,invertivore,255,14.902,-26.674,14.078,46.083,3.273
WIN,2,main channel,322,Moxostoma anisurum,invertivore,350,15.263,-26.118,14.218,46.834,3.294
WIN,2,main channel,323,Moxostoma anisurum,invertivore,420,16.329,-26.265,13.911,45.592,3.277
WIN,2,main channel,324,Moxostoma anisurum,invertivore,390,15.865,-26.250,13.358,45.767,3.426
WIN,2,main channel,325,Moxostoma macrolepidotum,invertivore,350,15.231,-28.282,13.753,51.516,3.746
WIN,2,main channel,326,Perca flavescens,invertivore,147,15.989,-25.028,14.034,45.092,3.213
WIN,2,main channel,327,Lepisosteus osseus,piscivore,710,17.014,-25.738,14.348,47.529,3.313
WIN,2,main channel,328,Micropterus salmoides,piscivore,210,18.725,-23.176,14.843,46.894,3.159
WIN,2,main channel,329,Ictiobus bubalus,detritivore,550,15.102,-28.691,9.138,55.447,6.068
WIN,2,main channel,330,Micropterus salmoides,piscivore,372,17.387,-24.486,14.481,45.628,3.151
WIN,2,main channel,331,Micropterus dolomieu,piscivore,295,17.134,-24.929,14.729,45.338,3.078
WIN,2,main channel,332,Aplodinotus grunniens,invertivore,355,16.436,-25.801,13.735,47.528,3.460
WIN,2,main channel,333,Aplodinotus grunniens,invertivore,415,14.058,-27.384,14.668,48.426,3.301
WIN,2,main channel,334,Aplodinotus grunniens,invertivore,440,14.942,-29.809,8.864,59.382,6.699
WIN,2,main channel,335,Aplodinotus grunniens,invertivore,350,17.369,-26.312,15.033,46.755,3.110
WIN,2,main channel,336,Pylodictis olivaris,piscivore,510,16.494,-24.630,14.542,45.599,3.136
WIN,2,main channel,337,Lepisosteus osseus,piscivore,770,16.650,-26.153,13.783,45.857,3.327
WIN,2,main channel,338,Micropterus salmoides,piscivore,195,17.191,-25.826,14.284,45.233,3.167
WIN,2,main channel,501,Morone chrysops,piscivore,400,17.362,-26.178,13.972,45.692,3.270
WIN,2,main channel,502,Ictiobus bubalus,detritivore,325,15.736,-26.232,13.840,43.263,3.126
WIN,2,main channel,503,Ictiobus bubalus,detritivore,365,15.312,-26.330,13.810,46.325,3.354
MMR,1,main channel,504,Hypophthalmichthys molitrix,detritivore,490,14.590,-28.933,13.555,45.254,3.338
MMR,1,main channel,505,Hypophthalmichthys molitrix,detritivore,540,13.430,-30.520,12.020,48.343,4.022
MMR,1,main channel,506,Hypophthalmichthys molitrix,detritivore,515,14.385,-27.485,13.751,45.172,3.285
MMR,1,main channel,507,Dorosoma cepedianum,planktivore,230,13.203,-27.358,11.980,47.856,3.994
MMR,1,main channel,508,Pylodictis olivaris,piscivore,390,17.463,-25.329,14.514,44.268,3.050
MMR,1,main channel,509,Pylodictis olivaris,piscivore,310,16.204,-25.272,14.248,44.043,3.091
MMR,1,main channel,510,Moxostoma macrolepidotum,invertivore,385,15.960,-28.077,12.263,47.168,3.846
MMR,1,main channel,511,Cyprinus carpio,detritivore,560,13.073,-23.885,13.312,48.413,3.637
MMR,1,main channel,512,Micropterus salmoides,piscivore,360,16.080,-26.470,14.572,44.047,3.023
MMR,1,main channel,513,Pylodictis olivaris,piscivore,350,17.068,-25.530,13.702,42.223,3.081
MMR,1,main channel,514,Pylodictis olivaris,piscivore,345,17.200,-24.852,14.352,43.556,3.035
MMR,1,main channel,515,Micropterus salmoides,piscivore,295,18.015,-25.897,14.464,44.100,3.049
MMR,1,main channel,516,Hypophthalmichthys molitrix,detritivore,515,13.094,-28.026,12.817,46.607,3.636
MMR,1,main channel,517,Ictiobus bubalus,detritivore,390,15.743,-26.711,13.086,46.843,3.580
MMR,1,main channel,518,Aplodinotus grunniens,invertivore,570,16.409,-24.251,14.632,44.346,3.031
MMR,1,main channel,519,Carpiodes carpio,detritivore,280,15.686,-27.066,13.795,42.559,3.085
MMR,1,main channel,520,Carpiodes carpio,detritivore,300,15.749,-27.396,13.583,42.811,3.152
MMR,1,main channel,521,Cyprinus carpio,detritivore,610,14.664,-26.953,10.350,51.083,4.936
MMR,1,main channel,522,Cyprinus carpio,detritivore,660,14.917,-27.941,10.193,53.187,5.218
MMR,1,main channel,523,Ictiobus bubalus,detritivore,355,14.223,-26.732,13.363,45.578,3.411
MMR,1,main channel,524,Aplodinotus grunniens,invertivore,415,15.948,-25.329,13.444,45.927,3.416
MMR,1,main channel,525,Ictiobus bubalus,detritivore,355,15.947,-26.776,13.974,45.045,3.223
MMR,1,main channel,526,Moxostoma macrolepidotum,invertivore,390,15.257,-28.550,12.140,44.970,3.704
MMR,1,main channel,527,Micropterus salmoides,piscivore,315,18.416,-26.445,14.348,43.248,3.014
MMR,1,main channel,528,Pylodictis olivaris,piscivore,270,17.096,-26.598,13.846,43.155,3.117
MMR,1,main channel,529,Micropterus salmoides,piscivore,295,17.610,-25.971,14.686,44.024,2.998
MMR,1,main channel,530,Micropterus salmoides,piscivore,330,17.752,-25.865,14.328,43.725,3.052
MMR,1,main channel,531,Ictiobus bubalus,detritivore,460,15.719,-26.249,12.620,45.818,3.631
MMR,1,main channel,534,Aplodinotus grunniens,invertivore,410,16.470,-25.311,13.544,45.027,3.325
MMR,1,main channel,535,Dorosoma cepedianum,planktivore,330,12.803,-27.955,12.787,46.464,3.634
MMR,1,main channel,536,Ictiobus bubalus,detritivore,330,13.268,-28.046,14.062,44.283,3.149
MMR,1,main channel,537,Aplodinotus grunniens,invertivore,470,16.524,-24.517,11.122,33.057,2.972
MMR,2,side channel,538,Dorosoma cepedianum,planktivore,250,12.275,-26.576,13.763,44.487,3.232
MMR,2,side channel,539,Dorosoma cepedianum,planktivore,310,10.411,-33.059,11.229,49.879,4.442
MMR,2,side channel,540,Ictiobus bubalus,detritivore,325,13.986,-29.962,14.034,43.961,3.133
MMR,2,side channel,541,Dorosoma cepedianum,planktivore,305,11.875,-28.125,12.715,45.029,3.541
MMR,2,side channel,542,Carpiodes carpio,detritivore,395,16.036,-27.843,11.023,50.470,4.578
MMR,2,side channel,543,Cyprinus carpio,detritivore,490,13.738,-25.637,12.369,48.796,3.945
MMR,2,side channel,544,Pylodictis olivaris,piscivore,345,16.767,-25.344,14.248,44.339,3.112
MMR,2,side channel,545,Dorosoma cepedianum,planktivore,210,12.518,-26.616,13.182,44.298,3.361
MMR,2,side channel,546,Dorosoma cepedianum,planktivore,190,12.191,-26.411,13.468,45.250,3.360
MMR,2,side channel,548,Cyprinus carpio,detritivore,580,14.046,-24.186,11.748,49.876,4.246
MMR,2,side channel,549,Aplodinotus grunniens,invertivore,290,15.604,-25.870,14.359,44.732,3.115
MMR,2,side channel,550,Carpiodes carpio,detritivore,375,16.142,-26.861,11.466,48.962,4.270
MMR,2,side channel,551,Pylodictis olivaris,piscivore,475,17.374,-25.127,13.962,44.410,3.181
MMR,2,side channel,552,Ictalurus punctatus,omnivore,425,15.178,-25.173,13.778,45.373,3.293
MMR,2,side channel,553,Ictalurus punctatus,omnivore,290,14.609,-25.166,14.016,45.792,3.267
MMR,2,side channel,554,Amia calva,piscivore,490,13.226,-24.817,14.154,44.859,3.169
MMR,2,side channel,555,Morone chrysops,piscivore,195,15.589,-27.362,14.149,44.180,3.122
MMR,2,side channel,556,Ctenopharyngodon idella,,820,14.174,-27.663,9.458,55.730,5.892
MMR,2,side channel,557,Cyprinus carpio,detritivore,550,14.417,-24.503,12.341,47.913,3.883
